Symbol,Last_Close (₦),XGB_Signal,XGB_Return (%),XGB_R2,XGB_Direction_Acc,XGB_Balanced_Acc,XGB_Buy_Probability,XGB_F1_BUY,XGB_Confidence,RF_Signal,RF_Return (%),RF_R2,RF_Direction_Acc,RF_Balanced_Acc,RF_Buy_Probability,RF_F1_BUY,RF_Confidence,LSTM_Signal,LSTM_Return (%),LSTM_R2,LSTM_Direction_Acc,LSTM_Balanced_Acc,LSTM_Buy_Probability,LSTM_F1_BUY,LSTM_Confidence,XGB_Quality_Pass,RF_Quality_Pass,LSTM_Quality_Pass,Models_Run,Qualified_Models,Qualified_Model_Names,Vote_Source,Consensus_Signal,Consensus_Tier,Avg_R2,Avg_Quality_R2,Avg_Confidence,Avg_Return,Fallback_Return_20D (%),Fallback_Return_60D (%),Fallback_Return_120D (%),Fallback_Avg_Trade_Value_20D
SCOA,33.05,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,132.6803,45.9161,-13.3683,365.493,10185376.98
SEPLAT,11486.2,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,44.6234,9.9158,26.2234,97.7311,3003509213.79
SKYAVN,156.95,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,37.5739,9.6785,8.3161,94.727,45029514.29
SKYEBANK,0.77,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,13.7792,35.0877,10.0,-3.75,4861133.28
SOVRENINS,2.94,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,29.3481,39.3365,46.2687,2.439,21191178.71
STANBIC,169.35,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,34.6643,3.8957,38.8115,61.2857,430885350.79
STERLINGNG,7.85,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,HOLD,3,0.0,0.0,0.05,-0.7024,-1.875,-10.7955,10.5634,368625251.98
STERLNBANK,1.6,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.1148,7.4836,3.8961,11.8881,6.6667,13999287.58
SUNUASSUR,4.48,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.0774,3.7378,5.4118,1.1287,4.6729,9041584.08
TANTALIZER,4.8,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,45.3385,31.5068,3.6717,100.8368,59612323.75
TIP,31.2,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,87.8291,12.0287,69.1057,182.3529,546966462.93
TOTAL,640.0,SELL,-5.58,0.0191,63.33,51.91,32.13,15.38,0.0285,SELL,-6.29,0.0,63.33,50.0,29.87,0.0,0.0,,,,,,,,,True,False,False,2,1,XGB,quality,SELL,3,0.0096,0.0191,0.0285,,,,,
TRANSCOHOT,223.3,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,15.1284,0.0,17.7122,27.673,18307167.93
TRANSCORP,46.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,HOLD,3,0.0,0.0,0.05,-0.8026,-2.1277,-9.8039,9.5238,143524840.01
TRANSEXPR,4.76,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,72.3886,-25.625,121.3953,121.3953,5539208.14
TRANSPOWER,245.5,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.12,-16.6711,-9.9743,-20.0065,-20.0326,18380142.59
UAC-PROP,0.75,BUY,10.8,0.1125,56.43,61.25,91.89,65.14,0.3343,BUY,10.42,0.1208,57.14,62.08,90.42,65.91,0.3308,,,,,,,,,True,True,False,2,2,"XGB,RF",quality,BUY,2,0.1166,0.1166,0.3326,,,,,
UACN,142.0,SELL,-5.39,0.1273,54.78,62.73,29.54,43.37,0.1113,SELL,-8.49,0.0,38.5,50.0,17.81,0.0,0.0,BUY,3.8,0.0,60.49,50.0,64.41,75.38,0.1086,True,False,True,3,2,"XGB,LSTM",quality,CONFLICT,3,0.0424,0.0636,0.11,,,,,
UBA,55.0,SELL,-6.36,0.1786,67.95,67.86,18.22,66.31,0.286,SELL,-7.47,0.0504,56.41,55.04,12.65,19.05,0.0783,BUY,2.09,0.0,48.38,50.0,60.46,65.21,0.0682,True,True,False,3,2,"XGB,RF",quality,SELL,2,0.0763,0.1145,0.1821,,,,,
UBN,6.55,BUY,0.35,0.2021,71.6,70.21,52.06,63.68,0.0184,BUY,0.13,0.1493,66.54,64.93,50.73,56.12,0.0053,,,,,,,,,False,False,False,2,0,,none,CONFLICT,3,0.1757,0.0,0.0,,,,,
UCAP,19.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.0894,4.9424,5.2632,-0.2625,9.8266,240678754.57
UNILEVER,125.0,SELL,-8.99,0.0723,49.33,57.23,8.42,39.87,0.1898,SELL,-8.2,0.082,49.07,58.2,12.09,36.12,0.1594,SELL,-1.94,0.0015,36.9,50.15,41.02,5.08,0.0046,False,False,False,3,0,,none,CONFLICT,3,0.0519,0.0,0.0,,,,,
UNIONDICON,23.75,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,96.9352,8.4475,43.0723,239.2857,3172953.05
UNITYBNK,1.51,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.12,-19.2608,17.9688,-29.108,-46.6431,5592153.95
UNIVINSURE,1.09,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.12,-11.6626,-9.9174,-19.8529,-5.2174,9729459.91
UPDC,4.2,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.12,-13.1559,-14.2857,-12.5,-12.6819,29734266.64
UPL,5.0,SELL,-3.93,0.0423,56.37,54.23,36.08,23.76,0.0359,SELL,-4.15,0.0332,55.81,53.32,35.29,13.33,0.0209,,,,,,,,,True,True,False,2,2,"XGB,RF",quality,SELL,2,0.0378,0.0378,0.0284,,,,,
VERITASKAP,1.66,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.12,-14.1532,-6.7416,-31.1203,-4.5977,51063541.68
VETBANK,27.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,32.4873,11.8476,-22.0779,107.6923,15411846.13
VETGOODS,56.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,22.5819,19.1489,-23.1824,71.7791,7232994.67
VFDGROUP,11.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.0809,4.0868,5.7692,-3.5088,10.0,398346184.64
VITAFOAM,139.0,SELL,-7.1,0.2026,64.54,70.26,19.55,66.49,0.2845,SELL,-8.44,0.0921,49.03,59.21,13.82,42.5,0.1821,,,,,,,,,True,False,False,2,1,XGB,quality,SELL,3,0.1474,0.2026,0.2845,,,,,
WAPCO,324.5,SELL,-8.07,0.0377,39.85,53.77,10.41,31.58,0.1345,SELL,-8.75,0.0,30.33,49.54,7.09,4.91,0.0209,,,,,,,,,False,False,False,2,0,,none,CONFLICT,3,0.0188,0.0,0.0,,,,,
WAPIC,2.64,BUY,2.61,0.1482,64.84,64.82,61.73,63.41,0.0964,BUY,1.52,0.149,65.36,64.9,56.83,60.53,0.0537,,,,,,,,,True,True,False,2,2,"XGB,RF",quality,BUY,2,0.1486,0.1486,0.075,,,,,
WEMABANK,31.25,SELL,-8.19,0.1269,60.57,62.69,18.6,61.38,0.2416,SELL,-7.56,0.0597,49.35,55.97,21.03,35.33,0.1146,,,,,,,,,True,False,False,2,1,XGB,quality,SELL,3,0.0933,0.1269,0.2416,,,,,
ZENITHBANK,135.9,SELL,-5.84,0.034,44.1,53.4,18.67,26.85,0.0898,SELL,-7.12,0.0,37.69,49.93,11.84,2.41,0.0092,BUY,0.65,0.0047,61.35,50.47,53.5,75.89,0.0268,False,False,False,3,0,,none,CONFLICT,3,0.0129,0.0,0.0,,,,,
